#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -50.6099  -50.6098  -50.6042  -46.2554  -46.2494  -46.2494  -12.4900  -11.2313   -5.8701   -3.7990   -3.7989   -3.1087   -3.0961   -3.0961   -1.2793   -1.2793   -0.8209   -0.8209   -0.6254    0.6493    0.6493    0.8136    1.9437    2.0279
  0.0460  -50.6099  -50.6099  -50.6042  -46.2554  -46.2494  -46.2494  -12.4844  -11.2291   -5.8624   -3.8027   -3.7979   -3.1107   -3.0985   -3.0977   -1.3286   -1.2872   -0.8799   -0.8260   -0.5968    0.6525    0.6574    0.8211    1.9561    2.0034
  0.0920  -50.6099  -50.6099  -50.6042  -46.2554  -46.2495  -46.2494  -12.4678  -11.2222   -5.8390   -3.8138   -3.7947   -3.1203   -3.1032   -3.1023   -1.4569   -1.3111   -1.0384   -0.8401   -0.5284    0.6548    0.6801    0.8404    1.8227    2.0025
  0.1380  -50.6099  -50.6099  -50.6042  -46.2553  -46.2495  -46.2495  -12.4401  -11.2111   -5.8002   -3.8321   -3.7896   -3.1433   -3.1095   -3.1070   -1.6368   -1.3510   -1.2498   -0.8604   -0.4528    0.6484    0.7141    0.8644    1.6888    1.9764
  0.1840  -50.6100  -50.6099  -50.6042  -46.2553  -46.2496  -46.2495  -12.4017  -11.1959   -5.7462   -3.8573   -3.7829   -3.1840   -3.1188   -3.1108   -1.8514   -1.4724   -1.4062   -0.8835   -0.3916    0.6322    0.7543    0.8883    1.5814    1.9485
  0.2300  -50.6101  -50.6099  -50.6042  -46.2553  -46.2497  -46.2495  -12.3531  -11.1772   -5.6773   -3.8891   -3.7750   -3.2511   -3.1294   -3.1154   -2.0809   -1.6846   -1.4750   -0.9070   -0.3572    0.6068    0.7960    0.9112    1.5115    1.9246
  0.2760  -50.6101  -50.6099  -50.6042  -46.2553  -46.2498  -46.2495  -12.2946  -11.1556   -5.5939   -3.9277   -3.7666   -3.3568   -3.1400   -3.1211   -2.2974   -1.8816   -1.5549   -0.9296   -0.3561    0.5737    0.8351    0.9340    1.4818    1.9093
  0.3220  -50.6102  -50.6100  -50.6042  -46.2553  -46.2499  -46.2496  -12.2270  -11.1318   -5.4965   -3.9746   -3.7583   -3.5097   -3.1494   -3.1280   -2.4770   -2.0627   -1.6432   -0.9510   -0.3900    0.5356    0.8688    0.9574    1.4876    1.9052
  0.3681  -50.6103  -50.6100  -50.6041  -46.2552  -46.2501  -46.2496  -12.1510  -11.1067   -5.3859   -4.0373   -3.7511   -3.6991   -3.1561   -3.1365   -2.6153   -2.2249   -1.7372   -0.9712   -0.4562    0.4964    0.8964    0.9815    1.5170    1.9127
  0.4141  -50.6104  -50.6100  -50.6041  -46.2552  -46.2502  -46.2496  -12.0677  -11.0815   -5.2631   -4.1436   -3.8793   -3.7457   -3.1586   -3.1472   -2.7278   -2.3614   -1.8344   -0.9903   -0.5499    0.4594    0.9185    1.0063    1.5540    1.9305
