#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60  24
# Band-Index:    1
   2.06940    -50.604155    -50.604155
   2.12252    -50.604174    -50.604174
   2.17565    -50.604184    -50.604184
   2.22877    -50.604194    -50.604194
   2.28190    -50.604209    -50.604209
   2.33502    -50.604211    -50.604211
   2.38814    -50.604211    -50.604211
 
# Band-Index:    4
   2.38814    -46.255357    -46.255357
   2.33502    -46.255357    -46.255357
   2.28190    -46.255353    -46.255353
   2.22877    -46.255333    -46.255333
   2.17565    -46.255316    -46.255316
   2.12252    -46.255299    -46.255299
   2.06940    -46.255271    -46.255271
   2.01628    -46.255238    -46.255238
   1.96315    -46.255213    -46.255213
   1.91003    -46.255183    -46.255183
   1.85691    -46.255161    -46.255161
   1.80378    -46.255134    -46.255134
   1.75066    -46.255088    -46.255088
   1.69754    -46.255071    -46.255071
   1.64441    -46.255058    -46.255058
   1.59129    -46.255037    -46.255037
   1.53817    -46.255026    -46.255026
   1.48504    -46.255014    -46.255014
   1.43192    -46.255012    -46.255012
   1.37879    -46.255012    -46.255012
   1.37879    -46.255012    -46.255012
   1.35223    -46.255003    -46.255003
   1.32567    -46.255000    -46.255000
   1.29911    -46.254998    -46.254998
   1.27255    -46.255001    -46.255001
   1.24599    -46.255008    -46.255008
   1.21942    -46.255013    -46.255013
   1.19286    -46.255013    -46.255013
   1.16630    -46.255016    -46.255016
   1.13974    -46.255023    -46.255023
   1.11318    -46.255027    -46.255027
   1.08661    -46.255034    -46.255034
   1.06005    -46.255049    -46.255049
   1.03349    -46.255051    -46.255051
   1.00693    -46.255051    -46.255051
   0.98037    -46.255052    -46.255052
   0.95381    -46.255058    -46.255058
   0.92724    -46.255054    -46.255054
   0.90068    -46.255054    -46.255054
   0.87412    -46.255053    -46.255053
   0.87412    -46.255053    -46.255053
   0.82811    -46.255063    -46.255063
   0.78211    -46.255060    -46.255060
   0.73610    -46.255070    -46.255070
   0.69010    -46.255082    -46.255082
   0.64409    -46.255107    -46.255107
   0.59808    -46.255126    -46.255126
   0.55208    -46.255154    -46.255154
   0.50607    -46.255184    -46.255184
   0.46006    -46.255200    -46.255200
   0.41406    -46.255228    -46.255228
   0.36805    -46.255243    -46.255243
   0.32204    -46.255271    -46.255271
   0.27604    -46.255292    -46.255292
   0.23003    -46.255311    -46.255311
   0.18403    -46.255329    -46.255329
   0.13802    -46.255350    -46.255350
   0.09201    -46.255354    -46.255354
   0.04601    -46.255356    -46.255356
   0.00000    -46.255357    -46.255357
 
# Band-Index:    5
   0.00000    -46.249416    -46.249416
   0.04601    -46.249433    -46.249433
   0.09201    -46.249481    -46.249481
   0.13802    -46.249549    -46.249549
   0.18403    -46.249622    -46.249622
   0.23003    -46.249706    -46.249706
   0.27604    -46.249804    -46.249804
   0.32204    -46.249923    -46.249923
   0.36805    -46.250053    -46.250053
   0.41406    -46.250179    -46.250179
   0.46006    -46.250314    -46.250314
   0.50607    -46.250464    -46.250464
   0.55208    -46.250563    -46.250563
   0.59808    -46.250666    -46.250666
   0.64409    -46.250782    -46.250782
   0.69010    -46.250860    -46.250860
   0.73610    -46.250916    -46.250916
   0.78211    -46.250968    -46.250968
   0.82811    -46.251007    -46.251007
   0.87412    -46.251014    -46.251014
   0.87412    -46.251014    -46.251014
   0.90068    -46.251012    -46.251012
   0.92724    -46.251018    -46.251018
   0.95381    -46.251008    -46.251008
   0.98037    -46.250982    -46.250982
   1.00693    -46.250977    -46.250977
   1.03349    -46.250962    -46.250962
   1.06005    -46.250939    -46.250939
   1.08661    -46.250912    -46.250912
   1.11318    -46.250892    -46.250892
