#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  40  24
# Band-Index:    1
   0.00000    -50.702937    -50.702937
   0.04575    -50.702926    -50.702926
   0.09149    -50.702903    -50.702903
   0.13724    -50.702878    -50.702878
   0.18299    -50.702828    -50.702828
   0.22874    -50.702774    -50.702774
   0.27448    -50.702710    -50.702710
   0.32023    -50.702657    -50.702657
   0.36598    -50.702586    -50.702586
   0.41173    -50.702515    -50.702515
   0.45747    -50.702433    -50.702433
   0.50322    -50.702356    -50.702356
   0.54897    -50.702279    -50.702279
   0.59472    -50.702197    -50.702197
   0.64046    -50.702129    -50.702129
   0.68621    -50.702057    -50.702057
   0.73196    -50.702011    -50.702011
   0.77771    -50.701990    -50.701990
   0.82345    -50.701988    -50.701988
   0.86920    -50.701974    -50.701974
   0.86920    -50.701974    -50.701974
   0.91495    -50.701988    -50.701988
   0.96070    -50.701990    -50.701990
   1.00644    -50.702011    -50.702011
   1.05219    -50.702057    -50.702057
   1.09794    -50.702129    -50.702129
   1.14368    -50.702197    -50.702197
   1.18943    -50.702279    -50.702279
   1.23518    -50.702356    -50.702356
   1.28093    -50.702433    -50.702433
   1.32667    -50.702515    -50.702515
   1.37242    -50.702586    -50.702586
   1.41817    -50.702657    -50.702657
   1.46392    -50.702710    -50.702710
   1.50966    -50.702774    -50.702774
   1.55541    -50.702828    -50.702828
   1.60116    -50.702878    -50.702878
   1.64691    -50.702903    -50.702903
   1.69265    -50.702926    -50.702926
   1.73840    -50.702937    -50.702937
 
# Band-Index:    2
   1.73840    -50.702209    -50.702209
   1.69265    -50.702208    -50.702208
   1.64691    -50.702206    -50.702206
   1.60116    -50.702207    -50.702207
   1.55541    -50.702194    -50.702194
   1.50966    -50.702180    -50.702180
   1.46392    -50.702168    -50.702168
   1.41817    -50.702151    -50.702151
   1.37242    -50.702124    -50.702124
   1.32667    -50.702118    -50.702118
   1.28093    -50.702101    -50.702101
   1.23518    -50.702072    -50.702072
   1.18943    -50.702049    -50.702049
   1.14368    -50.702024    -50.702024
   1.09794    -50.702002    -50.702002
   1.05219    -50.701986    -50.701986
   1.00644    -50.701980    -50.701980
   0.96070    -50.701982    -50.701982
