#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  40  24
# Band-Index:    1
   0.91495    -50.701975    -50.701975
   0.86920    -50.701971    -50.701971
   0.86920    -50.701971    -50.701971
   0.82345    -50.701975    -50.701975
   0.77771    -50.701982    -50.701982
   0.73196    -50.701980    -50.701980
   0.68621    -50.701986    -50.701986
   0.64046    -50.702002    -50.702002
   0.59472    -50.702024    -50.702024
   0.54897    -50.702049    -50.702049
   0.50322    -50.702072    -50.702072
   0.45747    -50.702101    -50.702101
   0.41173    -50.702118    -50.702118
   0.36598    -50.702124    -50.702124
   0.32023    -50.702151    -50.702151
   0.27448    -50.702168    -50.702168
   0.22874    -50.702180    -50.702180
   0.18299    -50.702194    -50.702194
   0.13724    -50.702207    -50.702207
   0.09149    -50.702206    -50.702206
   0.04575    -50.702208    -50.702208
   0.00000    -50.702209    -50.702209
 
# Band-Index:    3
   0.00000    -50.698861    -50.698861
   0.04575    -50.698869    -50.698869
   0.09149    -50.698875    -50.698875
   0.13724    -50.698888    -50.698888
   0.18299    -50.698883    -50.698883
   0.22874    -50.698892    -50.698892
   0.27448    -50.698907    -50.698907
   0.32023    -50.698924    -50.698924
   0.36598    -50.698930    -50.698930
   0.41173    -50.698948    -50.698948
   0.45747    -50.698956    -50.698956
   0.50322    -50.698966    -50.698966
   0.54897    -50.698979    -50.698979
   0.59472    -50.698980    -50.698980
   0.64046    -50.698990    -50.698990
   0.68621    -50.698998    -50.698998
   0.73196    -50.699006    -50.699006
   0.77771    -50.699012    -50.699012
   0.82345    -50.699023    -50.699023
   0.86920    -50.699018    -50.699018
   0.86920    -50.699018    -50.699018
   0.91495    -50.699023    -50.699023
   0.96070    -50.699012    -50.699012
   1.00644    -50.699006    -50.699006
   1.05219    -50.698998    -50.698998
   1.09794    -50.698990    -50.698990
   1.14368    -50.698980    -50.698980
   1.18943    -50.698979    -50.698979
   1.23518    -50.698966    -50.698966
   1.28093    -50.698956    -50.698956
   1.32667    -50.698948    -50.698948
   1.37242    -50.698930    -50.698930
   1.41817    -50.698924    -50.698924
   1.46392    -50.698907    -50.698907
   1.50966    -50.698892    -50.698892
   1.55541    -50.698883    -50.698883
   1.60116    -50.698888    -50.698888
   1.64691    -50.698875    -50.698875
   1.69265    -50.698869    -50.698869
   1.73840    -50.698861    -50.698861
 
# Band-Index:    4
   1.73840    -46.321099    -46.321099
   1.69265    -46.321108    -46.321108
   1.64691    -46.321116    -46.321116
   1.60116    -46.321133    -46.321133
   1.55541    -46.321130    -46.321130
   1.50966    -46.321144    -46.321144
   1.46392    -46.321166    -46.321166
   1.41817    -46.321191    -46.321191
   1.37242    -46.321202    -46.321202
   1.32667    -46.321230    -46.321230
   1.28093    -46.321245    -46.321245
   1.23518    -46.321262    -46.321262
   1.18943    -46.321281    -46.321281
   1.14368    -46.321287    -46.321287
   1.09794    -46.321303    -46.321303
   1.05219    -46.321316    -46.321316
   1.00644    -46.321328    -46.321328
   0.96070    -46.321339    -46.321339
   0.91495    -46.321353    -46.321353
   0.86920    -46.321347    -46.321347
   0.86920    -46.321347    -46.321347
   0.82345    -46.321353    -46.321353
   0.77771    -46.321339    -46.321339
   0.73196    -46.321328    -46.321328
   0.68621    -46.321316    -46.321316
   0.64046    -46.321303    -46.321303
   0.59472    -46.321287    -46.321287
   0.54897    -46.321281    -46.321281
   0.50322    -46.321262    -46.321262
   0.45747    -46.321245    -46.321245
   0.41173    -46.321230    -46.321230
   0.36598    -46.321202    -46.321202
   0.32023    -46.321191    -46.321191
   0.27448    -46.321166    -46.321166
   0.22874    -46.321144    -46.321144
   0.18299    -46.321130    -46.321130
   0.13724    -46.321133    -46.321133
   0.09149    -46.321116    -46.321116
   0.04575    -46.321108    -46.321108
   0.00000    -46.321099    -46.321099
 
# Band-Index:    5
   0.00000    -46.315762    -46.315762
   0.04575    -46.315745    -46.315745
   0.09149    -46.315710    -46.315710
   0.13724    -46.315670    -46.315670
   0.18299    -46.315598    -46.315598
   0.22874    -46.315517    -46.315517
   0.27448    -46.315424    -46.315424
   0.32023    -46.315339    -46.315339
   0.36598    -46.315233    -46.315233
   0.41173    -46.315128    -46.315128
   0.45747    -46.315006    -46.315006
   0.50322    -46.314891    -46.314891
   0.54897    -46.314775    -46.314775
   0.59472    -46.314655    -46.314655
   0.64046    -46.314556    -46.314556
   0.68621    -46.314452    -46.314452
   0.73196    -46.314384    -46.314384
   0.77771    -46.314352    -46.314352
   0.82345    -46.314345    -46.314345
   0.86920    -46.314325    -46.314325
   0.86920    -46.314325    -46.314325
   0.91495    -46.314345    -46.314345
   0.96070    -46.314352    -46.314352
   1.00644    -46.314384    -46.314384
   1.05219    -46.314452    -46.314452
   1.09794    -46.314556    -46.314556
   1.14368    -46.314655    -46.314655
   1.18943    -46.314775    -46.314775
   1.23518    -46.314891    -46.314891
   1.28093    -46.315006    -46.315006
   1.32667    -46.315128    -46.315128
   1.37242    -46.315233    -46.315233
   1.41817    -46.315339    -46.315339
   1.46392    -46.315424    -46.315424
   1.50966    -46.315517    -46.315517
   1.55541    -46.315598    -46.315598
   1.60116    -46.315670    -46.315670
   1.64691    -46.315710    -46.315710
   1.69265    -46.315745    -46.315745
   1.73840    -46.315762    -46.315762
 
# Band-Index:    6
   1.73840    -46.314672    -46.314672
   1.69265    -46.314670    -46.314670
   1.64691    -46.314666    -46.314666
   1.60116    -46.314665    -46.314665
   1.55541    -46.314646    -46.314646
   1.50966    -46.314627    -46.314627
   1.46392    -46.314608    -46.314608
   1.41817    -46.314583    -46.314583
   1.37242    -46.314544    -46.314544
   1.32667    -46.314533    -46.314533
   1.28093    -46.314507    -46.314507
   1.23518    -46.314468    -46.314468
   1.18943    -46.314435    -46.314435
   1.14368    -46.314399    -46.314399
   1.09794    -46.314368    -46.314368
   1.05219    -46.314345    -46.314345
   1.00644    -46.314336    -46.314336
   0.96070    -46.314337    -46.314337
   0.91495    -46.314326    -46.314326
   0.86920    -46.314319    -46.314319
   0.86920    -46.314319    -46.314319
   0.82345    -46.314326    -46.314326
   0.77771    -46.314337    -46.314337
   0.73196    -46.314336    -46.314336
   0.68621    -46.314345    -46.314345
   0.64046    -46.314368    -46.314368
   0.59472    -46.314399    -46.314399
   0.54897    -46.314435    -46.314435
   0.50322    -46.314468    -46.314468
   0.45747    -46.314507    -46.314507
   0.41173    -46.314533    -46.314533
   0.36598    -46.314544    -46.314544
   0.32023    -46.314583    -46.314583
   0.27448    -46.314608    -46.314608
   0.22874    -46.314627    -46.314627
   0.18299    -46.314646    -46.314646
   0.13724    -46.314665    -46.314665
   0.09149    -46.314666    -46.314666
   0.04575    -46.314670    -46.314670
   0.00000    -46.314672    -46.314672
 
# Band-Index:    7
   0.00000    -11.169826    -11.169826
   0.04575    -11.176280    -11.176280
   0.09149    -11.195322    -11.195322
   0.13724    -11.226104    -11.226104
   0.18299    -11.267373    -11.267373
   0.22874    -11.317625    -11.317625
   0.27448    -11.375121    -11.375121
   0.32023    -11.437854    -11.437854
   0.36598    -11.503574    -11.503574
   0.41173    -11.570051    -11.570051
   0.45747    -11.635316    -11.635316
   0.50322    -11.697635    -11.697635
   0.54897    -11.755580    -11.755580
   0.59472    -11.807956    -11.807956
   0.64046    -11.853790    -11.853790
   0.68621    -11.892293    -11.892293
   0.73196    -11.922857    -11.922857
   0.77771    -11.945019    -11.945019
   0.82345    -11.958441    -11.958441
   0.86920    -11.962933    -11.962933
   0.86920    -11.962933    -11.962933
   0.91495    -11.958441    -11.958441
   0.96070    -11.945019    -11.945019
   1.00644    -11.922857    -11.922857
   1.05219    -11.892293    -11.892293
   1.09794    -11.853790    -11.853790
   1.14368    -11.807956    -11.807956
   1.18943    -11.755580    -11.755580
   1.23518    -11.697635    -11.697635
   1.28093    -11.635316    -11.635316
   1.32667    -11.570051    -11.570051
   1.37242    -11.503574    -11.503574
   1.41817    -11.437854    -11.437854
   1.46392    -11.375121    -11.375121
   1.50966    -11.317625    -11.317625
   1.55541    -11.267373    -11.267373
   1.60116    -11.226104    -11.226104
   1.64691    -11.195322    -11.195322
   1.69265    -11.176280    -11.176280
   1.73840    -11.169826    -11.169826
 
# Band-Index:    8
   1.73840    -11.145047    -11.145047
   1.69265    -11.152022    -11.152022
   1.64691    -11.172528    -11.172528
   1.60116    -11.205415    -11.205415
   1.55541    -11.248912    -11.248912
   1.50966    -11.300800    -11.300800
   1.46392    -11.358599    -11.358599
   1.41817    -11.419994    -11.419994
   1.37242    -11.483068    -11.483068
   1.32667    -11.546177    -11.546177
   1.28093    -11.607827    -11.607827
   1.23518    -11.666589    -11.666589
   1.18943    -11.721215    -11.721215
   1.14368    -11.770618    -11.770618
   1.09794    -11.813885    -11.813885
   1.05219    -11.850263    -11.850263
   1.00644    -11.879163    -11.879163
   0.96070    -11.900131    -11.900131
   0.91495    -11.912835    -11.912835
   0.86920    -11.917087    -11.917087
   0.86920    -11.917087    -11.917087
   0.82345    -11.912835    -11.912835
   0.77771    -11.900131    -11.900131
   0.73196    -11.879163    -11.879163
   0.68621    -11.850263    -11.850263
   0.64046    -11.813885    -11.813885
   0.59472    -11.770618    -11.770618
   0.54897    -11.721215    -11.721215
   0.50322    -11.666589    -11.666589
   0.45747    -11.607827    -11.607827
   0.41173    -11.546177    -11.546177
   0.36598    -11.483068    -11.483068
   0.32023    -11.419994    -11.419994
   0.27448    -11.358599    -11.358599
   0.22874    -11.300800    -11.300800
   0.18299    -11.248912    -11.248912
   0.13724    -11.205415    -11.205415
   0.09149    -11.172528    -11.172528
   0.04575    -11.152022    -11.152022
   0.00000    -11.145047    -11.145047
 
# Band-Index:    9
   0.00000     -5.589155     -5.589155
   0.04575     -5.574017     -5.574017
   0.09149     -5.529144     -5.529144
   0.13724     -5.456208     -5.456208
   0.18299     -5.357980     -5.357980
   0.22874     -5.238431     -5.238431
   0.27448     -5.103434     -5.103434
   0.32023     -4.964556     -4.964556
   0.36598     -4.842958     -4.842958
   0.41173     -4.738590     -4.738590
   0.45747     -4.639497     -4.639497
   0.50322     -4.541997     -4.541997
   0.54897     -4.444948     -4.444948
   0.59472     -4.347723     -4.347723
   0.64046     -4.289068     -4.289068
   0.68621     -4.294065     -4.294065
   0.73196     -4.302681     -4.302681
   0.77771     -4.310871     -4.310871
   0.82345     -4.316491     -4.316491
   0.86920     -4.318472     -4.318472
   0.86920     -4.318472     -4.318472
   0.91495     -4.316491     -4.316491
   0.96070     -4.310871     -4.310871
   1.00644     -4.302681     -4.302681
   1.05219     -4.294065     -4.294065
   1.09794     -4.289068     -4.289068
   1.14368     -4.347723     -4.347723
   1.18943     -4.444948     -4.444948
   1.23518     -4.541997     -4.541997
   1.28093     -4.639497     -4.639497
   1.32667     -4.738590     -4.738590
   1.37242     -4.842958     -4.842958
   1.41817     -4.964556     -4.964556
   1.46392     -5.103434     -5.103434
   1.50966     -5.238431     -5.238431
   1.55541     -5.357980     -5.357980
   1.60116     -5.456208     -5.456208
   1.64691     -5.529144     -5.529144
   1.69265     -5.574017     -5.574017
   1.73840     -5.589155     -5.589155
 
# Band-Index:   10
   1.73840     -5.317285     -5.317285
   1.69265     -5.306884     -5.306884
   1.64691     -5.276263     -5.276263
   1.60116     -5.227132     -5.227132
   1.55541     -5.162042     -5.162042
   1.50966     -5.083819     -5.083819
   1.46392     -4.994327     -4.994327
   1.41817     -4.890526     -4.890526
   1.37242     -4.760748     -4.760748
   1.32667     -4.616308     -4.616308
   1.28093     -4.483396     -4.483396
   1.23518     -4.381464     -4.381464
   1.18943     -4.320150     -4.320150
   1.14368     -4.293558     -4.293558
   1.09794     -4.248933     -4.248933
   1.05219     -4.149544     -4.149544
   1.00644     -4.048189     -4.048189
   0.96070     -3.944845     -3.944845
   0.91495     -3.840187     -3.840187
   0.86920     -3.756589     -3.756589
   0.86920     -3.756589     -3.756589
   0.82345     -3.840187     -3.840187
   0.77771     -3.944845     -3.944845
   0.73196     -4.048189     -4.048189
   0.68621     -4.149544     -4.149544
   0.64046     -4.248933     -4.248933
   0.59472     -4.293558     -4.293558
   0.54897     -4.320150     -4.320150
   0.50322     -4.381464     -4.381464
   0.45747     -4.483396     -4.483396
   0.41173     -4.616308     -4.616308
   0.36598     -4.760748     -4.760748
   0.32023     -4.890526     -4.890526
   0.27448     -4.994327     -4.994327
   0.22874     -5.083819     -5.083819
   0.18299     -5.162042     -5.162042
   0.13724     -5.227132     -5.227132
   0.09149     -5.276263     -5.276263
   0.04575     -5.306884     -5.306884
   0.00000     -5.317285     -5.317285
 
# Band-Index:   11
   0.00000     -3.868342     -3.868342
   0.04575     -3.861773     -3.861772
   0.09149     -3.842861     -3.842861
   0.13724     -3.823758     -3.823758
   0.18299     -3.812636     -3.812636
   0.22874     -3.799531     -3.799531
   0.27448     -3.785353     -3.785353
   0.32023     -3.771186     -3.771186
   0.36598     -3.758214     -3.758214
   0.41173     -3.747565     -3.747565
   0.45747     -3.740084     -3.740084
   0.50322     -3.736127     -3.736127
   0.54897     -3.735489     -3.735489
   0.59472     -3.737481     -3.737481
   0.64046     -3.741177     -3.741177
   0.68621     -3.745611     -3.745611
   0.73196     -3.749936     -3.749936
   0.77771     -3.753485     -3.753485
   0.82345     -3.755791     -3.755791
   0.86920     -3.756585     -3.756585
   0.86920     -3.756585     -3.756585
   0.91495     -3.755791     -3.755791
   0.96070     -3.753485     -3.753485
   1.00644     -3.749936     -3.749936
   1.05219     -3.745611     -3.745611
   1.09794     -3.741177     -3.741177
   1.14368     -3.737481     -3.737481
   1.18943     -3.735489     -3.735489
   1.23518     -3.736127     -3.736127
   1.28093     -3.740084     -3.740084
   1.32667     -3.747565     -3.747565
   1.37242     -3.758214     -3.758214
   1.41817     -3.771186     -3.771186
   1.46392     -3.785353     -3.785353
   1.50966     -3.799531     -3.799531
   1.55541     -3.812636     -3.812636
   1.60116     -3.823758     -3.823758
   1.64691     -3.842861     -3.842861
   1.69265     -3.861773     -3.861772
   1.73840     -3.868342     -3.868342
 
# Band-Index:   12
   1.73840     -3.839238     -3.839238
   1.69265     -3.837453     -3.837453
   1.64691     -3.832195     -3.832195
   1.60116     -3.814311     -3.814311
   1.55541     -3.781477     -3.781477
   1.50966     -3.752441     -3.752441
   1.46392     -3.735076     -3.735076
   1.41817     -3.731416     -3.731416
   1.37242     -3.735473     -3.735473
   1.32667     -3.735911     -3.735911
   1.28093     -3.718310     -3.718309
   1.23518     -3.667908     -3.667908
   1.18943     -3.578925     -3.578925
   1.14368     -3.463302     -3.463302
   1.09794     -3.346527     -3.346527
   1.05219     -3.282702     -3.282702
   1.00644     -3.385475     -3.385475
   0.96070     -3.499318     -3.499318
   0.91495     -3.611336     -3.611336
   0.86920     -3.697519     -3.697519
   0.86920     -3.697519     -3.697519
   0.82345     -3.611336     -3.611336
   0.77771     -3.499318     -3.499318
   0.73196     -3.385475     -3.385475
   0.68621     -3.282702     -3.282702
   0.64046     -3.346527     -3.346527
   0.59472     -3.463302     -3.463302
   0.54897     -3.578925     -3.578925
   0.50322     -3.667908     -3.667908
   0.45747     -3.718310     -3.718309
   0.41173     -3.735911     -3.735911
   0.36598     -3.735473     -3.735473
   0.32023     -3.731416     -3.731416
   0.27448     -3.735076     -3.735076
   0.22874     -3.752441     -3.752441
   0.18299     -3.781477     -3.781477
   0.13724     -3.814311     -3.814311
   0.09149     -3.832195     -3.832195
   0.04575     -3.837453     -3.837453
   0.00000     -3.839238     -3.839238
 
# Band-Index:   13
   0.00000     -3.225610     -3.225610
   0.04575     -3.225126     -3.225126
   0.09149     -3.223305     -3.223305
   0.13724     -3.218826     -3.218826
   0.18299     -3.209091     -3.209091
   0.22874     -3.192112     -3.192112
   0.27448     -3.173196     -3.173196
   0.32023     -3.192749     -3.192749
   0.36598     -3.214640     -3.214640
   0.41173     -3.229601     -3.229601
   0.45747     -3.237255     -3.237255
   0.50322     -3.237883     -3.237883
   0.54897     -3.232466     -3.232466
   0.59472     -3.222542     -3.222542
   0.64046     -3.209964     -3.209964
   0.68621     -3.242573     -3.242573
   0.73196     -3.202249     -3.202249
   0.77771     -3.179218     -3.179218
   0.82345     -3.168739     -3.168739
   0.86920     -3.165678     -3.165678
   0.86920     -3.165678     -3.165678
   0.91495     -3.168739     -3.168739
   0.96070     -3.179218     -3.179218
   1.00644     -3.202249     -3.202249
   1.05219     -3.242573     -3.242573
   1.09794     -3.209964     -3.209964
   1.14368     -3.222542     -3.222542
   1.18943     -3.232466     -3.232466
   1.23518     -3.237883     -3.237883
   1.28093     -3.237255     -3.237255
   1.32667     -3.229601     -3.229601
   1.37242     -3.214640     -3.214640
   1.41817     -3.192749     -3.192749
   1.46392     -3.173196     -3.173196
   1.50966     -3.192112     -3.192112
   1.55541     -3.209091     -3.209091
   1.60116     -3.218826     -3.218826
   1.64691     -3.223305     -3.223305
   1.69265     -3.225126     -3.225126
   1.73840     -3.225610     -3.225610
 
# Band-Index:   14
   1.73840     -2.993274     -2.993274
   1.69265     -3.002487     -3.002487
   1.64691     -3.026907     -3.026907
   1.60116     -3.060053     -3.060053
   1.55541     -3.096362     -3.096362
   1.50966     -3.132099     -3.132099
   1.46392     -3.164807     -3.164807
   1.41817     -3.161141     -3.161141
   1.37242     -3.154328     -3.154328
   1.32667     -3.148684     -3.148684
   1.28093     -3.142561     -3.142561
   1.23518     -3.135648     -3.135648
   1.18943     -3.128806     -3.128806
   1.14368     -3.129018     -3.129018
   1.09794     -3.171561     -3.171561
   1.05219     -3.196623     -3.196623
   1.00644     -3.184256     -3.184256
   0.96070     -3.174315     -3.174316
   0.91495     -3.167895     -3.167895
   0.86920     -3.165677     -3.165677
   0.86920     -3.165677     -3.165677
   0.82345     -3.167895     -3.167895
   0.77771     -3.174315     -3.174316
   0.73196     -3.184256     -3.184256
   0.68621     -3.196623     -3.196623
   0.64046     -3.171561     -3.171561
   0.59472     -3.129018     -3.129018
   0.54897     -3.128806     -3.128806
   0.50322     -3.135648     -3.135648
   0.45747     -3.142561     -3.142561
   0.41173     -3.148684     -3.148684
   0.36598     -3.154328     -3.154328
   0.32023     -3.161141     -3.161141
   0.27448     -3.164807     -3.164807
   0.22874     -3.132099     -3.132099
   0.18299     -3.096362     -3.096362
   0.13724     -3.060053     -3.060053
   0.09149     -3.026907     -3.026907
   0.04575     -3.002487     -3.002487
   0.00000     -2.993274     -2.993274
 
# Band-Index:   15
   0.00000     -2.860412     -2.860412
   0.04575     -2.888536     -2.888536
   0.09149     -2.939306     -2.939306
   0.13724     -2.986463     -2.986463
   0.18299     -3.019692     -3.019692
   0.22874     -3.029215     -3.029215
   0.27448     -2.999710     -2.999710
   0.32023     -2.920340     -2.920340
   0.36598     -2.805426     -2.805426
   0.41173     -2.705748     -2.705748
   0.45747     -2.703078     -2.703078
   0.50322     -2.774506     -2.774506
   0.54897     -2.870927     -2.870927
   0.59472     -2.964746     -2.964746
   0.64046     -3.004736     -3.004736
   0.68621     -2.962105     -2.962105
   0.73196     -2.873172     -2.873172
   0.77771     -2.775524     -2.775524
   0.82345     -2.700311     -2.700311
   0.86920     -2.671617     -2.671617
   0.86920     -2.671617     -2.671617
   0.91495     -2.700311     -2.700311
   0.96070     -2.775524     -2.775524
   1.00644     -2.873172     -2.873172
   1.05219     -2.962105     -2.962105
   1.09794     -3.004736     -3.004736
   1.14368     -2.964746     -2.964746
   1.18943     -2.870927     -2.870927
   1.23518     -2.774506     -2.774506
   1.28093     -2.703078     -2.703078
   1.32667     -2.705748     -2.705748
   1.37242     -2.805426     -2.805426
   1.41817     -2.920340     -2.920340
   1.46392     -2.999710     -2.999710
   1.50966     -3.029215     -3.029215
   1.55541     -3.019692     -3.019692
   1.60116     -2.986463     -2.986463
   1.64691     -2.939306     -2.939306
   1.69265     -2.888536     -2.888536
   1.73840     -2.860412     -2.860412
 
# Band-Index:   16
   1.73840     -2.718515     -2.718515
   1.69265     -2.687057     -2.687057
   1.64691     -2.626044     -2.626044
   1.60116     -2.560990     -2.560990
   1.55541     -2.500852     -2.500852
   1.50966     -2.451869     -2.451869
   1.46392     -2.419949     -2.419949
   1.41817     -2.409063     -2.409063
   1.37242     -2.413838     -2.413838
   1.32667     -2.394161     -2.394161
   1.28093     -2.272874     -2.272874
   1.23518     -2.076691     -2.076691
   1.18943     -2.001338     -2.001338
   1.14368     -1.982505     -1.982505
   1.09794     -1.970630     -1.970630
   1.05219     -1.963956     -1.963956
   1.00644     -1.960782     -1.960782
   0.96070     -1.959640     -1.959640
   0.91495     -1.959414     -1.959414
   0.86920     -1.959416     -1.959416
   0.86920     -1.959416     -1.959416
   0.82345     -1.959414     -1.959414
   0.77771     -1.959640     -1.959640
   0.73196     -1.960782     -1.960782
   0.68621     -1.963956     -1.963956
   0.64046     -1.970630     -1.970630
   0.59472     -1.982505     -1.982505
   0.54897     -2.001338     -2.001338
   0.50322     -2.076691     -2.076691
   0.45747     -2.272874     -2.272874
   0.41173     -2.394161     -2.394161
   0.36598     -2.413838     -2.413838
   0.32023     -2.409063     -2.409063
   0.27448     -2.419949     -2.419949
   0.22874     -2.451869     -2.451869
   0.18299     -2.500852     -2.500852
   0.13724     -2.560990     -2.560990
   0.09149     -2.626044     -2.626044
   0.04575     -2.687057     -2.687057
   0.00000     -2.718515     -2.718515
 
# Band-Index:   17
   0.00000     -2.584259     -2.584259
   0.04575     -2.571412     -2.571412
   0.09149     -2.536192     -2.536192
   0.13724     -2.485375     -2.485375
   0.18299     -2.425044     -2.425044
   0.22874     -2.359688     -2.359688
   0.27448     -2.292782     -2.292782
   0.32023     -2.227324     -2.227324
   0.36598     -2.166074     -2.166074
   0.41173     -2.111460     -2.111460
   0.45747     -2.065327     -2.065327
   0.50322     -2.028634     -2.028634
   0.54897     -1.872113     -1.872113
   0.59472     -1.747657     -1.747657
   0.64046     -1.738650     -1.738650
   0.68621     -1.777729     -1.777729
   0.73196     -1.833824     -1.833824
   0.77771     -1.892940     -1.892940
   0.82345     -1.940527     -1.940527
   0.86920     -1.959413     -1.959413
   0.86920     -1.959413     -1.959413
   0.91495     -1.940527     -1.940527
   0.96070     -1.892940     -1.892940
   1.00644     -1.833824     -1.833824
   1.05219     -1.777729     -1.777729
   1.09794     -1.738650     -1.738650
   1.14368     -1.747657     -1.747657
   1.18943     -1.872113     -1.872113
   1.23518     -2.028634     -2.028634
   1.28093     -2.065327     -2.065327
   1.32667     -2.111460     -2.111460
   1.37242     -2.166074     -2.166074
   1.41817     -2.227324     -2.227324
   1.46392     -2.292782     -2.292782
   1.50966     -2.359688     -2.359688
   1.55541     -2.425044     -2.425044
   1.60116     -2.485375     -2.485375
   1.64691     -2.536192     -2.536192
   1.69265     -2.571412     -2.571412
   1.73840     -2.584259     -2.584259
 
# Band-Index:   18
   1.73840     -1.030430     -1.030430
   1.69265     -1.029971     -1.029971
   1.64691     -1.028409     -1.028409
   1.60116     -1.025202     -1.025202
   1.55541     -1.079756     -1.079756
   1.50966     -1.186705     -1.186705
   1.46392     -1.285911     -1.285911
   1.41817     -1.368537     -1.368537
   1.37242     -1.429530     -1.429530
   1.32667     -1.469534     -1.469534
   1.28093     -1.493578     -1.493578
   1.23518     -1.505068     -1.505068
   1.18943     -1.490641     -1.490641
   1.14368     -1.383972     -1.383972
   1.09794     -1.160984     -1.160984
   1.05219     -0.896409     -0.896409
   1.00644     -0.627234     -0.627234
   0.96070     -0.373766     -0.373766
   0.91495     -0.164907     -0.164907
   0.86920     -0.071186     -0.071186
   0.86920     -0.071186     -0.071186
   0.82345     -0.164907     -0.164907
   0.77771     -0.373766     -0.373766
   0.73196     -0.627234     -0.627234
   0.68621     -0.896409     -0.896409
   0.64046     -1.160984     -1.160984
   0.59472     -1.383972     -1.383972
   0.54897     -1.490641     -1.490641
   0.50322     -1.505068     -1.505068
   0.45747     -1.493578     -1.493578
   0.41173     -1.469534     -1.469534
   0.36598     -1.429530     -1.429530
   0.32023     -1.368537     -1.368537
   0.27448     -1.285911     -1.285911
   0.22874     -1.186705     -1.186705
   0.18299     -1.079756     -1.079756
   0.13724     -1.025202     -1.025202
   0.09149     -1.028409     -1.028409
   0.04575     -1.029971     -1.029971
   0.00000     -1.030430     -1.030430
 
# Band-Index:   19
   0.00000     -0.803804     -0.803804
   0.04575     -0.825743     -0.825743
   0.09149     -0.886827     -0.886827
   0.13724     -0.975788     -0.975788
   0.18299     -1.019418     -1.019418
   0.22874     -1.009732     -1.009732
   0.27448     -0.994439     -0.994439
   0.32023     -0.971518     -0.971518
   0.36598     -0.938799     -0.938799
   0.41173     -0.894254     -0.894254
   0.45747     -0.836418     -0.836418
   0.50322     -0.764781     -0.764781
   0.54897     -0.680048     -0.680048
   0.59472     -0.584131     -0.584131
   0.64046     -0.480056     -0.480056
   0.68621     -0.371979     -0.371979
   0.73196     -0.265668     -0.265668
   0.77771     -0.169843     -0.169843
   0.82345     -0.098592     -0.098592
   0.86920     -0.071185     -0.071185
   0.86920     -0.071185     -0.071185
   0.91495     -0.098592     -0.098592
   0.96070     -0.169843     -0.169843
   1.00644     -0.265668     -0.265668
   1.05219     -0.371979     -0.371979
   1.09794     -0.480056     -0.480056
   1.14368     -0.584131     -0.584131
   1.18943     -0.680048     -0.680048
   1.23518     -0.764781     -0.764781
   1.28093     -0.836418     -0.836418
   1.32667     -0.894254     -0.894254
   1.37242     -0.938799     -0.938799
   1.41817     -0.971518     -0.971518
   1.46392     -0.994439     -0.994439
   1.50966     -1.009732     -1.009732
   1.55541     -1.019418     -1.019418
   1.60116     -0.975788     -0.975788
   1.64691     -0.886827     -0.886827
   1.69265     -0.825743     -0.825743
